ID,"Nama Desa",Kecamatan,Jenis,"Kode Desa"
1,"Balus Permai",Borong,desa,
2,"Bangka Kantar",Borong,desa,
3,"Benteng Raja",Borong,desa,
4,"Benteng Riwu",Borong,desa,
5,"Compang Ndejing",Borong,desa,
6,"Compang Tenda",Borong,desa,
7,"Golo Kantar",Borong,desa,
8,"Golo Lalong",Borong,desa,
9,"Golo Leda",Borong,desa,
10,"Gurung Liwut",Borong,desa,
161,"Kota Ndora",Borong,kelurahan,
11,"Nanga Labang",Borong,desa,
12,"Ngampang Mas",Borong,desa,
13,"Poco Rii",Borong,desa,
160,"Rana Loba",Borong,kelurahan,
14,"Rana Masak",Borong,desa,
162,"Satar Peot",Borong,kelurahan,
15,Waling,Borong,desa,
67,Buti,Congkar,desa,
71,"Compang Congkar",Congkar,desa,
72,"Compang Lawi",Congkar,desa,
68,"Golo Ngawan",Congkar,desa,
73,"Golo Pari",Congkar,desa,
70,"Rana Mese",Congkar,desa,
69,"Satar Nawang",Congkar,desa,
74,Wea,Congkar,desa,
75,Biting,Elar,desa,
76,"Compang Soba",Elar,desa,
77,"Compang Teo",Elar,desa,
78,"Golo Lebo",Elar,desa,
79,"Golo Lijun",Elar,desa,
80,"Golo Munde",Elar,desa,
81,"Haju Ngendong",Elar,desa,
82,"Kaju Wangi",Elar,desa,
83,"Legur Lai",Elar,desa,
84,"Lengko Namut",Elar,desa,
85,"Rana Gapang",Elar,desa,
86,"Rana Kulan",Elar,desa,
87,Sisir,Elar,desa,
163,"Tiwu Kondo",Elar,kelurahan,
88,"Wae Lokom",Elar,desa,
147,"Benteng Pau","Elar Selatan",desa,
148,Gising,"Elar Selatan",desa,
149,"Golo Linus","Elar Selatan",desa,
150,"Golo Wuas","Elar Selatan",desa,
151,"Langga Sai","Elar Selatan",desa,
164,"Lempang Paji","Elar Selatan",kelurahan,
152,"Mosi Ngaran","Elar Selatan",desa,
153,"Nanga Meje","Elar Selatan",desa,
154,"Nanga Puun","Elar Selatan",desa,
155,"Paan Waru","Elar Selatan",desa,
156,"Sangan Kalo","Elar Selatan",desa,
157,Sipi,"Elar Selatan",desa,
158,"Teno Mese","Elar Selatan",desa,
159,"Wae Rasan","Elar Selatan",desa,
203,Bamo,"Kota Komba",desa,
205,"Golo Meni","Kota Komba",desa,
206,"Golo Ndele","Kota Komba",desa,
207,"Golo Nderu","Kota Komba",desa,
208,"Golo Tolang","Kota Komba",desa,
201,Gunung,"Kota Komba",desa,
209,"Gunung Baru","Kota Komba",desa,
202,Komba,"Kota Komba",desa,
197,Lembur,"Kota Komba",desa,
199,Mbengan,"Kota Komba",desa,
210,Mokel,"Kota Komba",desa,
211,"Mokel Morid","Kota Komba",desa,
212,"Paan Leleng","Kota Komba",desa,
213,Pari,"Kota Komba",desa,
204,"Pong Ruan","Kota Komba",desa,
200,"Rana Kolong","Kota Komba",desa,
215,"Rana Mbata","Kota Komba",desa,
214,"Rana Mbeling","Kota Komba",desa,
165,"Rongga Koe","Kota Komba",kelurahan,
198,Ruan,"Kota Komba",desa,
166,"Tanah Rata","Kota Komba",kelurahan,
167,WatuNggene,"Kota Komba",kelurahan,
90,"Golo Meni","Kota Komba Utara",desa,
91,"Golo Ndele","Kota Komba Utara",desa,
92,"Golo Nderu","Kota Komba Utara",desa,
93,"Golo Tolang","Kota Komba Utara",desa,
95,"Gunung Baru","Kota Komba Utara",desa,
99,Mokel,"Kota Komba Utara",desa,
100,"Mokel Morid","Kota Komba Utara",desa,
101,"Paan Leleng","Kota Komba Utara",desa,
106,"Rana Mbata","Kota Komba Utara",desa,
105,"Rana Mbeling","Kota Komba Utara",desa,
195,"Watu Pari","Kota Komba Utara",desa,
183,"Bangka Leleng","Lamba Leda",kelurahan,
37,"Compang Deru","Lamba Leda",desa,
38,"Compang Mekar","Lamba Leda",desa,
39,"Compang Necak","Lamba Leda",desa,
42,"Golo Lembur","Lamba Leda",desa,
43,"Golo Munga","Lamba Leda",desa,
44,"Golo Nimbung","Lamba Leda",desa,
45,"Golo Paleng","Lamba Leda",desa,
46,"Golo Rentung","Lamba Leda",desa,
40,"Goreng Meni","Lamba Leda",desa,
41,"Goreng Meni Utara","Lamba Leda",desa,
47,"Lamba Keli","Lamba Leda",desa,
181,Mandosawu,"Lamba Leda",kelurahan,
182,"Nggalak Leleng","Lamba Leda",kelurahan,
48,"Tengku Lawar","Lamba Leda",desa,
49,"Tengku Leda","Lamba Leda",desa,
16,"Bangka Kuleng","Lamba Leda Selatan",desa,
17,"Bangka Pau","Lamba Leda Selatan",desa,
18,"Bea Waek","Lamba Leda Selatan",desa,
19,"Compang Laho","Lamba Leda Selatan",desa,
21,"Compang Weluk","Lamba Leda Selatan",desa,
20,"Compang Wesang","Lamba Leda Selatan",desa,
22,Deno,"Lamba Leda Selatan",desa,
23,"Golo Lobos","Lamba Leda Selatan",desa,
24,"Golo Ndari","Lamba Leda Selatan",desa,
180,"Golo Nderu","Lamba Leda Selatan",desa,
26,"Golo Rengket","Lamba Leda Selatan",desa,
27,"Golo Wune","Lamba Leda Selatan",desa,
28,"Gurung Turi","Lamba Leda Selatan",desa,
29,Lenang,"Lamba Leda Selatan",desa,
30,Lento,"Lamba Leda Selatan",desa,
31,Leong,"Lamba Leda Selatan",desa,
32,Melo,"Lamba Leda Selatan",desa,
33,"Poco Lia","Lamba Leda Selatan",desa,
34,Pocong,"Lamba Leda Selatan",desa,
35,"Satar Tesem","Lamba Leda Selatan",desa,
36,"Watu Lanur","Lamba Leda Selatan",desa,
129,Arus,"Lamba Leda Timur",desa,
130,"Bangka Arus","Lamba Leda Timur",desa,
131,"Benteng Rampas","Lamba Leda Timur",desa,
132,"Benteng Wunis","Lamba Leda Timur",desa,
133,Colol,"Lamba Leda Timur",desa,
134,"Compang Raci","Lamba Leda Timur",desa,
135,"Compang Wunis","Lamba Leda Timur",desa,
136,"Golo Lero","Lamba Leda Timur",desa,
137,"Ngkiong Dora","Lamba Leda Timur",desa,
138,"Rende Nao","Lamba Leda Timur",desa,
139,Rengkam,"Lamba Leda Timur",desa,
140,"Tango Molas","Lamba Leda Timur",desa,
141,"Ulu Wae","Lamba Leda Timur",desa,
142,"Urung Dora","Lamba Leda Timur",desa,
143,"Wangkar Weli","Lamba Leda Timur",desa,
144,"Watu Arus","Lamba Leda Timur",desa,
145,"Wejang Mali","Lamba Leda Timur",desa,
146,"Wejang Mawe","Lamba Leda Timur",desa,
50,"Golo Mangung","Lamba Leda Utara",desa,
51,"Golo Munga Barat","Lamba Leda Utara",desa,
52,"Golo Wontong","Lamba Leda Utara",desa,
53,"Haju Wangi","Lamba Leda Utara",desa,
54,Lencur,"Lamba Leda Utara",desa,
55,"Liang Deruk","Lamba Leda Utara",desa,
56,"Nampar Tabang","Lamba Leda Utara",desa,
57,"Satar Kampas","Lamba Leda Utara",desa,
58,"Satar Padut","Lamba Leda Utara",desa,
59,"Satar Punda","Lamba Leda Utara",desa,
60,"Satar Punda Barat","Lamba Leda Utara",desa,
108,"Bangka Kempo","Rana Mese",desa,
109,"Bangka Masa","Rana Mese",desa,
110,"Bea Ngencung","Rana Mese",desa,
111,"Compang Kantar","Rana Mese",desa,
112,"Compang Kempo","Rana Mese",desa,
113,"Compang Loni","Rana Mese",desa,
114,"Compang Teber","Rana Mese",desa,
115,"Golo Loni","Rana Mese",desa,
116,"Golo Meleng","Rana Mese",desa,
117,"Golo Ros","Rana Mese",desa,
118,"Golo Rutuk","Rana Mese",desa,
119,Lalang,"Rana Mese",desa,
120,Lidi,"Rana Mese",desa,
121,"Rondo Woing","Rana Mese",desa,
122,"Sano Lokom","Rana Mese",desa,
123,"Satar Lahing","Rana Mese",desa,
124,"Satar Lenda","Rana Mese",desa,
125,Sita,"Rana Mese",desa,
126,"Torok Golo","Rana Mese",desa,
127,"Wae Nggori","Rana Mese",desa,
128,"Watu Mori","Rana Mese",desa,
171,"Golo Wangkung","Sambi Rampas",kelurahan,
172,"Golo Wangkung Barat","Sambi Rampas",kelurahan,
173,"Golo Wangkung Utara","Sambi Rampas",kelurahan,
61,"Kembang Mekar","Sambi Rampas",desa,
62,"Lada Mese","Sambi Rampas",desa,
63,"Nampar Sepang","Sambi Rampas",desa,
174,"Nanga Baras","Sambi Rampas",kelurahan,
64,"Nanga Mbaling","Sambi Rampas",desa,
65,"Nanga Mbaur","Sambi Rampas",desa,
175,Pota,"Sambi Rampas",kelurahan,
176,"Ulung Baras","Sambi Rampas",kelurahan,
66,"Wela Lada","Sambi Rampas",desa,
